Num,Name,ID,City,Country,Date,URL,Photo,Address,CO,Lat,Long,NameFull
497,Taipei 101,R713,Taipei, Taiwan,"July 1, 2017",http://www.apple.com/tw/retail/taipei101/,http://www.apple.com/tw/retail/taipei101/images/hero_large.jpg,信義區市府路 45 號台北 101 購物中心 1F,TW,25.033626,121.564215,台北 101
496,Orchard Road,R669,Singapore, Singapore,"May 27, 2017",http://www.apple.com/sg/retail/orchardroad/,http://www.apple.com/sg/retail/orchardroad/images/hero_large.jpg,270 Orchard Road,SG,1.302795,103.836399,Orchard Road
495,Dubai Mall,R597,Dubai, United Arab Emirates,"April 27, 2017",http://www.apple.com/ae/retail/dubaimall/,http://www.apple.com/ae/retail/dubaimall/images/hero_large.jpg,The Dubai MallDowntown,AE,25.195614,55.277543,Dubai Mall
494,Brickell City Centre,R623,Miami, USA,"March 25, 2017",http://www.apple.com/retail/brickellcitycentre/,http://www.apple.com/retail/brickellcitycentre/images/hero_large.jpg,701 S. Miami Avenue,US,25.7667,-80.1935,Brickell City Centre
493,Schildergasse,R559,Cologne, Germany,"March 25, 2017",http://www.apple.com/de/retail/schildergasse/,http://www.apple.com/de/retail/schildergasse/images/hero_large.jpg,Schildergasse 1-9,DE,50.9365,6.9557,Schildergasse
492,Nanjing Jinmao Place,R703,Nanjing, China,"March 25, 2017",http://www.apple.com/cn/retail/nanjingjinmaoplace/,http://www.apple.com/cn/retail/nanjingjinmaoplace/images/hero_large.jpg,南京市鼓楼区中央路 201 号,CN,32.074786,118.778844,南京金茂汇
491,Kunming,R670,Kungming, China,"January 21, 2017",http://www.apple.com/cn/retail/kunming/,http://www.apple.com/cn/retail/kunming/images/hero_large.jpg,昆明市五华区东风西路 11 号,CN,25.039167,102.706111, 昆明
490,Qibao,R705,Shanghai, China,"December 10, 2016",http://www.apple.com/cn/retail/qibao/,http://www.apple.com/cn/retail/qibao/images/hero_large.jpg,上海市闵行区漕宝路 3366 号,CN,31.154616,121.349486, 七宝
489,Marché Saint-Germain,R566,Paris, France,"December 3, 2016",http://www.apple.com/fr/retail/marchesaintgermain/,http://www.apple.com/fr/retail/marchesaintgermain/images/hero_large.jpg,9 rue Clément,FR,48.8521,2.3359,Marché Saint-Germain
488,Zhujiang New Town,R639,Guangzhou, China,"December 1, 2016",http://www.apple.com/cn/retail/zhujiangnewtown/,http://www.apple.com/cn/retail/zhujiangnewtown/images/hero_large.jpg,广州珠江新城兴民路 222 号,CN,23.119444,113.327778, 珠江新城
487,Vía Santa Fe,R708,Del. Cuajimalpa, Mexico,"September 24, 2016",http://www.apple.com/mx/retail/viasantafe/,http://www.apple.com/mx/retail/viasantafe/images/hero_large.jpg,Avenida Vasco de Quiroga 3800,MX,19.36157,-99.2758,Vía Santa Fe
486,apm Hong Kong,R673,Hong Kong, China,"September 22, 2016",http://www.apple.com/hk/retail/apmhongkong/,http://www.apple.com/hk/retail/apmhongkong/images/hero_large.jpg,418 Kwun Tong Road,HK,22.31198,114.224912,apm Hong Kong
485,World Trade Center,R654,New York, USA,"August 16, 2016",http://www.apple.com/retail/worldtradecenter/,http://www.apple.com/retail/worldtradecenter/images/hero_large.jpg,185 Greenwich Street,US,40.711721,-74.011154,World Trade Center
